date,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock,market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,DOW JONES,chance,short,lifestyle,greed,food,financial,movie,nyse,ore,BUY AND HOLD,opportunity,health,selling,earnings,arts,culture,bubble,buy,trader,rare,earths,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,crash,transaction,garden,fond,train,labor,fun,environment,ring
2015-12-06,1,7,1,8,0,0,2,0,1,1,16,0,3,1,7,2,4,1,1,0,2,1,0,0,1,3,0,2,3,14,1,6,7,2,1,7,17,0,0,3,2,0,1,17,0,4,1,1,1,1,7,12,1,1,7,1,8,7,1,0,1,5,0,0,13,3,28,0,0,0,0,11,1,0,2,1,1,17,1,1,0,0,1,5,0,0,1,0,16,1,4,0,26,1,0,4,0,4,2,3,1,4
2015-12-13,1,7,1,8,0,0,2,1,1,1,16,0,3,1,7,1,4,1,1,0,1,1,0,0,1,2,0,2,3,15,1,6,7,2,1,7,18,0,0,3,3,0,1,18,0,4,1,1,1,1,8,12,1,1,7,1,8,7,1,1,1,5,0,0,14,3,33,0,0,0,0,11,1,0,2,1,1,19,1,1,0,0,1,5,0,0,1,0,16,0,4,0,25,1,0,5,0,4,2,3,1,4
2015-12-20,1,6,1,9,0,0,1,0,0,0,15,0,3,1,7,1,4,1,1,0,1,0,0,0,0,2,0,2,3,13,1,5,8,2,0,8,18,0,0,2,3,0,1,18,0,4,1,1,1,1,12,11,1,1,7,1,8,5,0,0,1,6,0,0,15,2,44,0,0,0,0,7,1,0,1,1,1,23,1,1,0,0,0,3,0,0,1,0,15,0,4,0,26,2,0,5,0,5,1,3,0,4
2015-12-27,1,7,1,11,0,0,2,0,0,0,17,0,3,2,7,1,4,1,1,0,2,0,0,0,0,2,0,3,3,13,1,5,7,2,0,14,19,0,0,2,3,0,1,20,0,4,1,1,1,0,6,13,1,1,7,1,9,5,0,0,1,6,0,0,15,3,45,0,0,0,0,8,1,0,1,1,1,18,1,1,0,0,0,3,0,0,1,0,16,0,5,0,30,1,0,6,0,4,1,3,0,4
2016-01-03,1,7,1,10,0,0,2,1,1,0,17,0,3,2,8,1,4,1,1,0,2,1,0,0,1,2,0,3,3,15,1,8,7,2,0,6,19,0,0,3,3,0,1,19,0,4,1,1,1,1,3,13,1,1,7,1,9,6,1,1,1,6,0,0,15,4,32,0,0,0,0,11,1,0,2,1,1,16,1,1,0,0,0,4,0,0,1,0,15,0,4,0,28,1,0,5,0,4,2,3,0,3
2016-01-10,1,7,1,10,0,0,2,1,1,1,15,0,3,2,8,1,6,1,1,0,2,1,0,0,1,2,0,3,4,14,1,8,7,2,1,6,20,0,0,3,3,0,1,19,0,4,1,1,1,1,2,13,1,1,6,1,10,6,1,1,1,5,0,0,14,3,30,0,0,0,0,11,1,0,2,1,1,15,1,1,0,0,1,5,0,0,1,0,15,0,4,0,26,2,0,5,0,3,2,3,1,3
2016-01-17,1,7,1,10,0,0,2,1,1,1,16,1,3,2,8,1,5,1,1,0,2,1,0,0,1,2,0,3,3,14,1,8,7,2,1,6,19,0,0,3,3,0,1,19,0,4,1,1,1,1,3,15,1,1,6,1,10,6,1,1,1,5,0,0,14,3,32,0,0,0,0,11,1,0,2,1,1,13,1,1,0,0,1,5,0,0,1,0,15,0,4,0,27,2,0,5,0,4,2,3,1,4
2016-01-24,1,7,1,10,0,0,2,1,1,1,16,0,4,2,8,1,4,1,1,0,2,1,0,0,1,2,0,3,3,14,1,8,7,2,1,6,20,0,0,3,2,0,1,18,0,4,1,1,1,1,2,14,1,1,7,1,10,6,1,1,1,5,0,0,14,4,29,0,0,0,0,12,1,1,2,1,1,13,1,1,0,0,1,5,0,0,1,0,15,0,4,0,26,1,0,5,0,4,2,3,1,4
2016-01-31,1,7,1,10,0,0,2,1,1,1,16,0,5,2,8,1,5,1,1,0,2,1,0,0,1,3,0,3,3,14,3,8,7,2,1,6,19,0,0,3,2,0,1,18,0,4,1,1,1,1,2,14,1,1,6,1,10,7,1,1,1,5,0,0,15,4,28,0,0,0,0,11,1,1,2,1,1,13,1,1,0,0,1,5,0,0,1,0,15,0,4,0,26,2,0,5,0,4,2,3,1,4
2016-02-07,1,7,1,11,0,0,2,1,1,1,16,0,4,2,7,1,4,1,1,0,2,1,0,0,1,2,0,3,3,13,1,8,7,2,1,7,21,0,0,3,2,0,1,19,0,4,1,1,1,1,3,14,1,1,7,1,10,7,1,1,1,5,0,0,15,4,30,0,0,0,0,11,1,0,2,1,1,14,1,1,0,0,1,5,0,0,1,0,16,0,4,0,25,1,0,5,0,3,2,3,1,4
